Trial,Reward,Algorithm
1,0.2601707759956787,Thompson Sampling
2,0.35778934111013394,Thompson Sampling
3,-0.6751464065500089,Thompson Sampling
4,1.2570961049526064,Thompson Sampling
5,0.07800944656081307,Thompson Sampling
6,-0.15105888764086972,Thompson Sampling
7,-0.055011056202751485,Thompson Sampling
8,1.839797471658447,Thompson Sampling
9,-0.43633877225947176,Thompson Sampling
10,1.2912221955356955,Thompson Sampling
11,1.7370932408289042,Thompson Sampling
12,1.96277994905485,Thompson Sampling
13,0.9912030765823319,Thompson Sampling
14,1.731443944424863,Thompson Sampling
15,0.1813534008327473,Thompson Sampling
16,1.084035460136228,Thompson Sampling
17,-1.7171923784751524,Thompson Sampling
18,-0.8142622805416653,Thompson Sampling
19,1.6589222093877019,Thompson Sampling
20,0.6604314482330804,Thompson Sampling
21,0.5060609237982376,Thompson Sampling
22,0.14709533096699284,Thompson Sampling
23,-1.3852048529265104,Thompson Sampling
24,0.8586117348362342,Thompson Sampling
25,1.1857934702681772,Thompson Sampling
26,1.6194347802238571,Thompson Sampling
27,-0.8782564989053909,Thompson Sampling
28,0.3418353433684211,Thompson Sampling
29,0.6939545466862443,Thompson Sampling
30,0.03705954147043522,Thompson Sampling
31,-0.27777739484947017,Thompson Sampling
32,-0.16026753161778695,Thompson Sampling
33,1.4742746632088597,Thompson Sampling
34,1.9615176524052653,Thompson Sampling
35,0.3358718851795315,Thompson Sampling
36,1.6618042972323868,Thompson Sampling
37,0.7208343447666291,Thompson Sampling
38,1.2424610399056815,Thompson Sampling
39,1.1045051569617093,Thompson Sampling
40,2.5605903198612596,Thompson Sampling
41,1.4770359365276509,Thompson Sampling
42,0.8214661516018,Thompson Sampling
43,1.1698044417652569,Thompson Sampling
44,0.633928832445397,Thompson Sampling
45,0.8563916569316609,Thompson Sampling
46,2.0920624186347476,Thompson Sampling
47,1.6095695444227605,Thompson Sampling
48,3.3370357393558496,Thompson Sampling
49,1.852733261134222,Thompson Sampling
50,1.1403587053686046,Thompson Sampling
51,2.0501234008699045,Thompson Sampling
52,1.159594710725822,Thompson Sampling
53,1.2304737506686538,Thompson Sampling
54,-0.2953534812907366,Thompson Sampling
55,1.3031095059851383,Thompson Sampling
56,1.038718368243696,Thompson Sampling
57,1.8765382579517587,Thompson Sampling
58,0.9579367482714227,Thompson Sampling
59,-0.10170740367385422,Thompson Sampling
60,-0.26668254139533865,Thompson Sampling
61,0.14089868359033686,Thompson Sampling
62,1.1460830734240943,Thompson Sampling
63,0.6463393285879884,Thompson Sampling
64,-1.015207992115448,Thompson Sampling
65,2.8451722009177107,Thompson Sampling
66,0.7330595441663323,Thompson Sampling
67,0.8754866144053454,Thompson Sampling
68,1.3939795628034042,Thompson Sampling
69,1.3472931571388576,Thompson Sampling
70,1.134219095292495,Thompson Sampling
71,-0.5381625096547638,Thompson Sampling
72,-0.9366951311361562,Thompson Sampling
73,2.212082540277975,Thompson Sampling
74,2.4899128797923753,Thompson Sampling
75,1.718905503759778,Thompson Sampling
76,1.5724448210896855,Thompson Sampling
77,1.6355449022213149,Thompson Sampling
78,-0.8475425779995283,Thompson Sampling
79,-0.41513742641916507,Thompson Sampling
80,-1.211333114377047,Thompson Sampling
81,0.7980659464002651,Thompson Sampling
82,2.604979502693828,Thompson Sampling
83,1.696967986038035,Thompson Sampling
84,0.6750710669460444,Thompson Sampling
85,1.516809149561573,Thompson Sampling
86,1.1553314818767708,Thompson Sampling
87,1.597661528326583,Thompson Sampling
88,0.4943537415924656,Thompson Sampling
89,3.0082951297114047,Thompson Sampling
90,-0.341824794973415,Thompson Sampling
91,1.884049163423053,Thompson Sampling
92,1.6795989277197418,Thompson Sampling
93,0.9917282095334593,Thompson Sampling
94,0.12947844419258336,Thompson Sampling
95,2.017998052661752,Thompson Sampling
96,0.6243704679359506,Thompson Sampling
97,0.31224955570169094,Thompson Sampling
98,1.7018150006472477,Thompson Sampling
99,1.040169005187522,Thompson Sampling
100,-0.2209438507777587,Thompson Sampling
101,0.625344875639815,Thompson Sampling
102,-0.12062765341852888,Thompson Sampling
103,2.4225670755375024,Thompson Sampling
104,1.2765364363440703,Thompson Sampling
105,0.2594805910995578,Thompson Sampling
106,1.5223579161176433,Thompson Sampling
107,0.5323800963128619,Thompson Sampling
108,0.4891273203153191,Thompson Sampling
109,0.7956823734538819,Thompson Sampling
110,-0.37515688835577826,Thompson Sampling
111,1.8345938040077425,Thompson Sampling
112,1.2777325608077674,Thompson Sampling
113,1.1411965922163074,Thompson Sampling
114,-0.6026842163802293,Thompson Sampling
115,-0.3993619445635006,Thompson Sampling
116,-0.4328423431609979,Thompson Sampling
117,1.3666989261974922,Thompson Sampling
118,2.424303899781518,Thompson Sampling
119,-0.08139632179799883,Thompson Sampling
120,1.7987081787158203,Thompson Sampling
121,0.036314507821555986,Thompson Sampling
122,1.1459811077261157,Thompson Sampling
123,1.2395209919900196,Thompson Sampling
124,2.1858641058937143,Thompson Sampling
125,0.9707516248727607,Thompson Sampling
126,1.9238717660216889,Thompson Sampling
127,-1.1319173520745012,Thompson Sampling
128,2.1059073310530776,Thompson Sampling
129,0.8215888976282707,Thompson Sampling
130,-0.3972031857770997,Thompson Sampling
131,1.2849305776632947,Thompson Sampling
132,0.2081159669162218,Thompson Sampling
133,0.7450317270270037,Thompson Sampling
134,-0.41114561961283447,Thompson Sampling
135,1.3482290068043166,Thompson Sampling
136,-0.5141515628665656,Thompson Sampling
137,0.0807164712577445,Thompson Sampling
138,2.9240214351935823,Thompson Sampling
